,회사명,위치,포지션,회사소개,주요업무,자격요견,우대사항,혜택 및 복지,마감일,기술스택
10,버드코리아,강남구 역삼동 669-19,CS / CX 매니저,"버드코리아는 혁신적인 퍼스널모빌리티로 이동의 새로운 경험을 제공하는공유 모빌리티 기업입니다.2021년 8월 서울 강남 지역과 수도권을 중심으로 킥보드 공유 서비스를 시작하였으며, 현재 운영 중인 버드 기기는 압도적인 주행 성능과 승차감으로 두터운 매니아 층을 확보하고 있습니다.",• 고객관리   - 고객 커뮤니케이션 응대   - 고객 경험(CX) 관리를 위한 응대 프로세스 개선   - 고객응대 시스템 A부터 Z까지 관리• 업무지원   - 운영 업무 지원   - 보험 및 GR 관련 업무   - 자사 앱 서비스 모니터링* 고객 보다 유관 부서와의 커뮤니케이션이 더 많고 중요한 직무입니다.,"• 내 / 외부 커뮤니케이션 능력이 우수하신 분• 고객서비스 분야의 다양한 업무 멀티 태스킹 경험• 업무 프로세스를 개선해 본 경험이 있으신 분• 스스로 문제를 찾고, 유연한 사고를 기반으로 해결해 나갈 수 있는 분• MS Office(Excel 등) 이용한 데이터 취합/정리 및 분석이 가능하신 분","• 1년 이상의 CS/CX 실무 경험이 있는 분• 모빌리티(자동차, 자전거, 킥보드 등) 분야에서 CS/CX 관련 경험이 있으신 분• 고객 의견(VOC) 분석을 통한 니즈 파악, 문제 개선 경험이 있는 분• 고객, 유관 부서와의 커뮤니케이션이 원활하고 의견을 조율하실 수 있는 분• 효율적인 CS 서비스 운영을 위한 FAQ, 상담 챗봇 기획/관리 경험이 있는 분• 실시간 이슈에 대응하는 유연한 업무 처리 능력과 일을 꼼꼼하게 처리하는 습관을 가지신 분• 민원 대응 가이드 수립 및 민원 응대 경험이 많으신 분• 당황하지 않고 차분하게 고객 문의 응대 및 문제 해결할 수 있는 분• 스타트업의 특성을 이해하고 있으며 업무 분담에 유연성을 가지고 있는 분• CS 자동화 도입 및 개선 경험이 있는 분• 깊은 고민과 빠른 실행으로 지속적인 개선을 만들어 나가는 분","• 자유로운 휴가(연차, 반차 등) 사용• 매년 리프레시 휴가 3일 제공• 매년 종합 건강검진 지원• 다양한 종류의 간식, 커피, 음료 제공• 버드 전동킥보드 무제한 라이딩 지원",상시,
11,파머스포터,서울 서초구 방배로 180 스파크플러스 내방점,서비스 기획자,"[파머스포터 소개]파머스포터는 주유별장 광화문점, 라디오베이 판교점, 압구정 등등, 샤오짠 서초점와 같은 레스토랑을 운영하고 있으며 수도권 전역으로 푸드비즈니스를 확장해나가고 있습니다. [레이지고메클럽 소개]레이지고메클럽은 파머스포터에서 운영하는 NFT 팀입니다. 레이지고메클럽은 맛있는 음식과 문화를 사랑하는 사람들이 모인 팀입니다. F&B 비즈니스와 블록 체인 기술을 결합해 새로운 푸드 비즈니스를 만들고 있습니다. 2022년 말 CJ ENM과 라인넥스트 DOSI와 함께 미식가 NFT를 발행하고 커뮤니티를 구축하였습니다. 레이지고메클럽과 맛집 커뮤니티 서비스를 함께 만들 팀원을 찾고 있습니다.- 2022년 01월 Lazy People V1 NFT 6000개 민팅 후 완판- 2022년 06월 현대그린푸드 모두의 맛집 X Lazy People 모맛이 NFT 및 밀키트 출시- 2022년 07월 Lazy People V1 NFT 홀더 대상 미식 커뮤니티 앱 ＜플래터＞베타 출시- 2022년 07월 카카오 그라운드X NFT 얼라이언스 그리드 합류- 2022년 12월 LGC X CJ ENM X Line next DOSI ＜줄 서는 식당＞방송 IP를 활용한 NFT(Lined Up Gourmet NFT) 1100개 민팅 후 완판- 2023년 01월 Lined Up Gourmet NFT 홀더 대상 미션 페이지 론칭","• 커뮤니티 앱 서비스 기획 (Main)    - 미식과 맛집을 주제로 한 커뮤니티 참여자들의 높은 소속감과 참여율을 이끌어 낼 서비스 기획    - 커뮤니티 활동에 관한 랭킹, 보상 시스템 등 게이미피케이션 도입 기획    - 기획한 서비스를 프로토타입으로 산출• 커뮤니티 관련 외부 서비스 기획    - 사용자들이 참여하는 SNS 플랫폼 혹은 타사 콜라보레이션 페이지에서 진행되는 팝업 서비스 기획전형절차ㆍ서류전형 ＞ 1차면접 ＞ 최종합격ㆍ면접일정은 추후 통보됩니다.","• 본인이 참여한 기획 프로세스 전반에 걸쳐 기획 방식과 산출물 샘플을 확인할 수 있는 포트폴리오 제출 필수• 모바일 플랫폼(iOS/Android)에 최적화 된 서비스 기획 가능• 프로토타이핑 툴 사용이 능숙 (XD 등)• 서비스 기획 경력 2년 이상• 개발, UX 디자이너, 마케터 등 다양한 협업부서와의 커뮤니케이션에 능통하신 분",• 신규 서비스 기획 및 런칭 경험이 있으신 분• 지표에 대한 이해와 해석이 가능하신 분• 커뮤니티 서비스에 관심이 있으신 분• Web3 / NFT 업계에 관심이 있으신 분• 맛집과 미식문화를 진심으로 사랑하시는 분,"• 파머스포터에서 운영하는 레스토랑 직원할인(10-30%) 혜택• 시차출퇴근제(9,10시-18,19시)• Lazy People V1 NFT 선물• 에어드레서와 마사지 의자 구비 사무실• 커피 및 차 무료• 자유로운 연차 사용",상시,ZeplinAdobe XDFigma
12,드림인사이트,"서울시 구로구 디지털로33길 12, 14층 (구로동, 우림이비지센터2차)",Java 백앤드 개발자 (시니어),"드림인사이트는 CREATIVE, AD TECH를 기반으로브랜드캠페인, 퍼포먼스마케팅 및 디지털콘텐츠 제작, 플랫폼 개발·운영까지ONE STOP 통합마케팅으로 진행하는 Digital Creative IMC Group입니다.드림인사이트가 앞으로 만들어갈 새로운 영역은크리에이티브+드림인사이트만의 애드테크를 접목시킨 ‘크리테크’로 가장 진화 된 형태의애드테크 솔루션입니다.드림인사이트는 새로운 크리에이티브 퍼포먼스를 만드는 크리테크 영역의 선도자로서 디지털과 크리에이티브, 그리고 새로운 솔루션으로 통합화한 최초의 리딩컴퍼니가 될 것입니다.",• Java & Spring Framework 기반 백엔드 시스템 개발• 자사 광고&ERP 솔루션 백엔드 전환 (PHP -＞ Java)• 자사 서비스 성능 개선 및 고도화,"• 학력 : 무관• 전공 : 무관• 경력 : 10년 이상• Java, Java framework (Spring Boot) 기반 개발이 가능하신 분• RESTful API 기반 서비스 설계 및 개발 경험이 있으신 분• AWS 클라우드 환경에서의 배포, 운영 경험이 있으신 분• MySQL, MariaDB 등 RDB 활용 경험이 있으신 분• DBA 모델링이 가능하신 분• Git, Git-flow에 대한 이해 및 소스코드 관리 경험이 있으신 분• 개발 조직 및 문화 리딩에 관심이 많으신 분",• 마이크로서비스 아키텍처 설계 및 운영 경험이 있으신 분• 대용량 트래픽을 처리하는 시스템을 개발/운영 해 본 경험 있으신 분• AWS Lambda 경험 있으신분• 광고 플랫폼 및 서비스 개발 겸험이 있으신 분• 동료들과 코드리뷰하는데 거부감이 없으신 분,• 직무 능력 향상을 위한 도서비 지원• 인재 추천 시 포상금 지원 (사내인재추천제도)• 사내 카페테리아 (매주 간식 및 음료 구매)• 매월 1회 4시 30분 조기 퇴근• 생일자 조기퇴근• 우수 사원 포상• 장기 근속자 포상• 경조 지원[채용조건]ㆍ정규직 (수습3개월 급여 100%지급)ㆍ채용절차 : 서류통과 -＞ 1차 면접(실무) -＞ 2차 면접(임원) -＞ 합격통보[근무환경]ㆍ근무시간: 주5일 (09:30~18:30) / 점심시간 : 12:30~13:30ㆍ근무지: 서울특별시 구로구 디지털로33길 12 우림이비지센터 14층,2023.02.28,GitVueJSCSSHTMLJavaScriptTypeScriptAWS
13,코어라인소프트,"서울특별시 마포구 월드컵북로 6길 49, 성명빌딩 4,5층",임상 지원 팀장,"코어라인소프트는 AI 완전 자동화 알고리즘의 폐 질환 정량 분석 소프트웨어를 최초로 개발했습니다. 이런 기술력을 바탕으로 영상 판독을 위한 정량적 기준을 제시하기 위해 노력하고, 발전하고 있습니다. 영상 판독은 경험과 직관에 의지해 판독하는 정성적 진단으로 편차가 많이 발생합니다. 또, 병변의 크기, 개수, 분포를 측정하는 방법이 의사마다 다른 경우가 있고, 정량화된 기준이 없어 전수가 어려운 특징이 있기 때문에 우리의 기술이 건강한 세상을 위해 꼭 필요하다고 생각합니다.코어라인소프트는 기술력을 인정받아 2018년 시리즈A, 2020년 시리즈B, 2021년 시리즈C 투자를 받았으며, 2022년 IPO(기술상장)를 목표로 달려가고 있습니다.해외 진출을 위해 유럽, 미국 법인을 설립했고, 독일 HANSE 폐암 검진 사업 계약, iDNA와 공동 제품 개발을 협약 등 성과를 보이고 있습니다.","• 의료기기 국내외 인허가, 국책 사업, 산학연계프로젝트 등 연관 임상 시험 및 제품 임상연구 프로젝트 관리","• 경력 : 관련 경력 10년 이상 • 학력 : 학사 이상(의약학, 간호학 등 의료 관련 분야 / 자연과학, 생명과학, 의공학 계열)• 임상시험/연구의 전 과정(기획, 수행, 결과 보고)을 관리하실 수 있으신 분","• 의료기기 임상시험/연구 수행 경험이 있으신 분(인허가 관련 임상시험 경험자 우대)• 의료 영상(X-ray, CT)에 대한 이해가 있는 분• 임상시험/연구와 관련된 병원 연구진과 소통 능력을 갖추신 분• 임상시험/연구에 필요한 통계학적 지식이 있으신 분• AI 의료영상에 대한 경험 또는 이해가 있으신 분• 관련 분야 석사이상 학위를 소지하신 분• 영어 능통자",• 휴가&근무 - 매년 연차 증가(+1) - 샌드위치Day 휴무 (유급휴일) - 경조휴가 지원 - 시차출퇴근제 운영(출근 : 08~10시 / 퇴근 : 17~19시)• 식사&간식 - 점심 및 저녁 식대 지원 (식대 법인카드 사용) - 스낵바 운영• 각종 지원 - 통신비 지원 - 자기계발비 지원 - 직무 관련 도서 지원 - 스터디 모임 지원 - 경조사비 지원 - 건강검진비 지원 - 업무효율성 증진을 위한 최신 장비 제공,2023.02.28,
14,코어라인소프트,"서울특별시 마포구 월드컵북로 6길 49, 성명빌딩 4,5층",전략사업 담당자,"코어라인소프트는 AI 완전 자동화 알고리즘의 폐 질환 정량 분석 소프트웨어를 최초로 개발했습니다. 이런 기술력을 바탕으로 영상 판독을 위한 정량적 기준을 제시하기 위해 노력하고, 발전하고 있습니다. 영상 판독은 경험과 직관에 의지해 판독하는 정성적 진단으로 편차가 많이 발생합니다. 또, 병변의 크기, 개수, 분포를 측정하는 방법이 의사마다 다른 경우가 있고, 정량화된 기준이 없어 전수가 어려운 특징이 있기 때문에 우리의 기술이 건강한 세상을 위해 꼭 필요하다고 생각합니다.코어라인소프트는 기술력을 인정받아 2018년 시리즈A, 2020년 시리즈B, 2021년 시리즈C 투자를 받았으며, 2023년 IPO(기술상장)를 목표로 달려가고 있습니다.해외 진출을 위해 유럽, 미국 법인을 설립했고, 독일 HANSE 폐암 검진 사업 계약, iDNA와 공동 제품 개발을 협약 등 성과를 보이고 있습니다.","• 신규 사업 추진을 위한 자료조사 • 인공지능 및 메디컬 관련 전시, 세미나 참관 등을 통한 시장 분석• 인사이트 도출 및 보고서 작성• 전략 수립 지원","• 경력: 4년 이상• 학력: 학사 이상• AI 및 메디컬 산업 주체에 대한 리서치 및 분석 역량이 있으신 분• 신규 국가 과제 및 다양한 이슈, 사업화에 관심이 있으신 분","• 신규 산업 기획, 제안서 작성이 우수하신 분• 관련 분야의 인턴십 경력이 있으신 분• 새로운 분야에 대한 도전 경험이 있으신 분• 비즈니스 영어가 원할하신 분",• 휴가&근무 - 매년 연차 증가(+1) - 샌드위치Day 휴무 (유급휴일) - 경조휴가 지원 - 시차출퇴근제 운영(출근 : 08~10시 / 퇴근 : 17~19시)• 식사&간식 - 점심 및 저녁 식대 지원 (식대 법인카드 사용) - 스낵바 운영• 각종 지원 - 통신비 지원 - 자기계발비 지원 - 직무 관련 도서 지원 - 스터디 모임 지원 - 경조사비 지원 - 건강검진비 지원 - 업무효율성 증진을 위한 최신 장비 제공,2023.02.28,
15,잉글리시에그,서초구 동작대로 212,마케터 모집,"성공적인 가족표 영어 교육의 조력자, 잉글리시에그 English EGG는 Education for the Global Genius의 줄임말로 영어 교육을 통해 자녀를 글로벌 인재로 키우겠다는 잉글리시에그의 의지를 온전하게 담았습니다. 이전에는 결코 없었던 새로운 영어 교육의 탄생, 우리 아이들이 가지고 있는 잠재력과 무한한 가능성의 상징, English EGG입니다. 캘리포니아 주립대 ESL교수진과 국내 최고의 영어 교육 전문가가 공동 집필한 스토리 북, 미국 최고 권위를 가진 에미상 토니상 뮤지션들이 작곡한 완성도 높은 오디오는 아이가 영어를 저절로 흥얼거리게 만듭니다. 앞으로도 잉글리시에그는 가장 좋은 것만 주고 싶은 부모의 마음으로 우리 아이들에게 가장 좋은 영어 교육, 최고의 영어 콘텐츠를 개발하기 위해 노력을 다하고있습니다.저희의 좋은 영향을 받고 성장하실, 또 저희에게 좋은 영향을 주시고 저희를 성장시킬 새로운 동료가 되어주세요!",• 잉글리시에그 프리미엄 콘텐츠 및 교재 제품 온라인 마케팅• SNS 운영 (유튜브 기획 및 제작 관련 우대)• 인플루언서 및 커뮤니티 관리 운영• 신규 고객 유입 채널 (제휴) 발굴• 오프라인 행사 기획 및 운영 경험,• 동종 업계 경력 및 교육 시장 이해도가 있으신 분 • 커뮤니케이션 능력이 원활하신 분 • 마케팅 대행사 경험이 있으신 분,• 번뜩이는 아이디어와 센스를 겸비하신 분 • 협업과 소통 능력이 뛰어나신 분• 유아 영어 교육 시장에 대한 관심과 이해도가 높으신 분,• 자신의 아이디어와 역량을 자유롭게 펼칠 수 있는 수평적 구조(PD제 도입) • 08:00~10:00 출근시간 조정할 수 있는 선택근무제도 • 눈치 보지 않는 자유로운 연차 사용 • 눈치 안보는 칼퇴근! 야근을 지양하고 근무시간에 집중하는 문화 • 저녁식사 지원 • 사내 커피 지원 • 도서 지원,상시,
16,잉글리시에그,서초구 동작대로 212,"PHP, Laravel, MySQL 웹개발자","잉그리시에그 IT 서비스 확장으로 함께 운영 개발 할 새로운 담당자분들을 모십니다. 성공적인 가족표 영어 교육의 조력자, 잉글리시에그 English EGG는 Education for the Global Genius의 줄임말로 영어 교육을 통해 자녀를 글로벌 인재로 키우겠다는 잉글리시에그의 의지를 온전하게 담았습니다. 이전에는 결코 없었던 새로운 영어 교육의 탄생, 우리 아이들이 가지고 있는 잠재력과 무한한 가능성의 상징, English EGG입니다. 캘리포니아 주립대 ESL교수진과 국내 최고의 영어 교육 전문가가 공동 집필한 스토리 북, 미국 최고 권위를 가진 에미상 토니상 뮤지션들이 작곡한 완성도 높은 오디오는 아이가 영어를 저절로 흥얼거리게 만듭니다. 앞으로도 잉글리시에그는 가장 좋은 것만 주고 싶은 부모의 마음으로 우리 아이들에게 가장 좋은 영어 교육, 최고의 영어 콘텐츠를 개발하기 위해 노력을 다하고있습니다.저희의 좋은 영향을 받고 성장하실, 또 저희에게 좋은 영향을 주시고 저희를 성장시킬 새로운 동료가 되어주세요!안내 사항[채용절차]• 서류전형 → 1차 실무진 인터뷰 → 2차 임원진 인터뷰 → 처우 협의 → 최종합격※절차는 변경될 수 있습니다.[지원 시 주의사항]• 3개월의 수습 기간이 있습니다.(수습 기간 동일 급여와 복리후생 보장)[참고사항]• 서류 합격자에 한해 연락드립니다.• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다.","• 신규 서비스 설계 및 개발 • 주문, 결제, 물류 시스템 관리 운영 • 모바일 앱 연동 REST API 개발","• PHP, Laravel, MySQL• 웹 개발 경력 5년 이상 • AWS 클라우드 환경 개발 경험• 리눅스 서버 환경 개발 경험",• React 개발 경험• 다양한 기술 스택 관심이 많은 분• 원활한 커뮤니케이션 가능한 분,• 자신의 아이디어와 역량을 자유롭게 펼칠 수 있는 수평적 구조(PD제 도입) • 08:00~10:00 출근시간 조정할 수 있는 선택근무제도 • 눈치 보지 않는 자유로운 연차 사용 • 눈치 안보는 칼퇴근! 야근을 지양하고 근무시간에 집중하는 문화 • 저녁식사 지원 • 사내 커피 지원 • 도서 지원,상시,LinuxMySQLReactPHPAWSLaravel
17,딥파인,서울시 강서구 공항대로 242 열린M타워Ⅱ 512호,유니티(Unity) 개발자,"딥파인은 산업용 업무협업 솔루션 ARON을 시작으로 다양한 XR기술과 서비스를 개발하고 있습니다.이후 완성된 플랫폼 기업으로 나아가기 위해 가장 강력한 XR 플랫폼을 함께 만들어갈 뛰어난 동료를 기다립니다!딥파인의 ARON은 건설, 식품, 항공 등 국내 Top 기업고객들이 사용중에 있으며, 스마트글라스를 활용한 솔루션으로써 국내 최대 상용화에 성공하였습니다. 딥파인은 VPS 기반의 XR 플랫폼 출시를 목표로 현재 다양한 연구와 개발을 진행하고 있습니다. 이는, 한국국토정보공사가 주관하는 'AR기반 실내 측위 서비스 시범 사업' 선정되어 그 기술력을 인정 받았습니다.또한 창립 3년여만에 빠르게 성장하여, 2022년 Pre-A 시리즈 투자를 성공적으로 마무리 하였습니다.XR 기술을 활용하여 어디에도 없는 새로운 메타버스 생태계를 구축한다는 자부심을 가지고함께하는 성장에 가치를 느끼고 싶은 분이라면 언제든지 환영합니다.[주요 사업 분야]-비대면 업무협업 솔루션 ARON-비대면 업무협업 솔루션  ARON Enterprise -XR 플랫폼 연구 및 구축-XR 디바이스 솔루션 구축","• 유니티 활용 자사 MR 서비스 개발 • 유니티 엔진활용 AR/VR, WebGL, XR(스마트글래스) 등의 콘텐츠 제작 • 유니티 기술 R&D","• Unity 개발 경력 5년 이상이신 분 • Unity Render PipeLine을 활용한 그래픽 작업(URP, HDRP) 및 최적화• OpenCV를 활용한 AR 라이브러리 제작• Unity ARFoundation, OpenXR 개발• Unity를 활용한 Android, iOS, Universal Window Platform 개발• Unity 또는 Unreal을 활용한 XR(VR/AR) 앱 상용화 경험• C# programming language 사용 가능한 분• 구성원들과의 협업을 즐기고, 성과를 함께 나눌 수 있는 분",• Unity Mixed Reality Webrtc 라이브러리 사용 경험• C 또는 C++를 활용한 OpenCV Unity 라이브러리 제작 경험• Unity 3D 그래픽 및 클라이언트 사이드 최적화 경험• AR/AI 기술을 적용한 콘텐츠 기획 경험• Android/iOS 네이티브 개발 경험• 팀과 함께 성장하며 지식을 공유하는 문화를 좋아하는 분• 통신관련 개발 및 통신 프로토콜 이해와 경험,[채용 절차]• 1. 서류전형 ＞ 2. 실무 인터뷰(비대면) ＞ 3. 최종 인터뷰(대면) ＞ 3. 최종합격최종 합격 여부는 빠르면 24시간 이내 늦어도 2-3일 이내 안내드립니다.[근무 형태]• 시차 출퇴근제 시행 中• 주 5일 : 08:30~10:00 출근 ~ 17:30~19:00 퇴근[근무 환경]• 발산역 8번출구에서 도보로 5분거리• 복장 완전 자율• 불필요한 야근/회식 강요 없음[혜택 및 복지]• 목표 매출 달성 시 상여금 지급합니다.• 각종 경조사비 및 경조 휴가를 제공합니다.• 명절 선물 및 교통비를 제공합니다.• 자기 계발 & 업무 관련 도서를 지원합니다.• 업무 관련 교육비를 지원합니다.• 대학원 학비 일부를 지원합니다.• 음료수 무한 제공합니다.• 매월 마지막 주 금요일 2시간 조기퇴근합니다.• 매월 영화 관람비 지원합니다.• 생일자는 그 주 원하는 날짜에 반차를 쓸 수 있습니다.,상시,
18,딥파인,서울시 강서구 공항대로 242 열린M타워Ⅱ 512호,Visual SLAM 개발자,"딥파인은 산업용 업무협업 솔루션 ARON을 시작으로 다양한 XR기술과 서비스를 개발하고 있습니다.이후 완성된 플랫폼 기업으로 나아가기 위해 가장 강력한 XR 플랫폼을 함께 만들어갈 뛰어난 동료를 기다립니다!딥파인의 ARON은 건설, 식품, 항공 등 국내 Top 기업고객들이 사용중에 있으며, 스마트글라스를 활용한 솔루션으로써 국내 최대 상용화에 성공하였습니다. 딥파인은 VPS 기반의 XR 플랫폼 출시를 목표로 현재 다양한 연구와 개발을 진행하고 있습니다. 이는, 한국국토정보공사가 주관하는 'AR기반 실내 측위 서비스 시범 사업' 선정되어 그 기술력을 인정 받았습니다.또한 창립 3년여만에 빠르게 성장하여, 2022년 Pre-A 시리즈 투자를 성공적으로 마무리 하였습니다.XR 기술을 활용하여 어디에도 없는 새로운 메타버스 생태계를 구축한다는 자부심을 가지고함께하는 성장에 가치를 느끼고 싶은 분이라면 언제든지 환영합니다.[주요 사업 분야]-비대면 업무협업 솔루션 ARON-비대면 업무협업 솔루션  ARON Enterprise -XR 플랫폼 연구 및 구축-XR 디바이스 솔루션 구축",• 카메라 기반 Visual Mapping/Localization 기술 개발• Multi-Sensor SLAM (Vision + Other Sensors) 기술 개발,"• 해당 분야 석사, 박사 학위 또는 3년 이상의 개발 경력 • 카메라 기반 Visual Mapping/Localization 기술 개발• Multi-Sensor SLAM (Vision + Other Sensors) 기술 개발• C / C++ / Python , OpenCV 개발 경험• LiDAR, 카메라, GPS, IMU 등 다중 센서 융합 및 알고리즘 개발 경험• 구성원들과의 협업을 즐기고, 성과를 함께 나눌 수 있는 분• 담당 업무에 대한 Ownership을 갖고, 주도적으로 업무를 이끌어나갈 수 있는 분","• 최적화 연구기술을 활용한 자사서비스 개발 경험• ORB-SLAM 개발 경험자• Computer Vision, 3D 공간정보 관련 지식 보유자• 딥러닝을 활용한 SLAM 알고리즘 성능 향상 경험 보유자• 스타트업 업무 환경에 대한 이해가 있는 분",[채용 절차]• 1. 서류전형 ＞ 2. 실무 인터뷰(비대면) ＞ 3. 최종 인터뷰(대면) ＞ 3. 최종합격최종 합격 여부는 빠르면 24시간 이내 늦어도 2-3일 이내 안내드립니다.[근무형태]• 시차 출퇴근제• 주 5일 : 08:30~10:00 출근 ~ 17:30~19:00 퇴근[근무환경]• 발산역 8번출구에서 도보로 5분거리• 복장 완전 자율• 불필요한 야근/회식 강요 없음[혜택 및 복지]• 목표 매출 달성 시 상여금 지급합니다.• 각종 경조사비 및 경조 휴가를 제공합니다.• 명절 선물 및 교통비를 제공합니다.• 자기 계발 & 업무 관련 도서를 지원합니다.• 업무 관련 교육비를 지원합니다.• 대학원 학비 일부를 지원합니다.• 음료수 무한 제공합니다.• 매월 마지막 주 금요일 2시간 조기퇴근합니다.• 매월 영화 관람비 지원합니다.• 생일자는 그 주 원하는 날짜에 반차를 쓸 수 있습니다.,상시,C / C++Python3D 모델링LiDAR
19,딥파인,서울시 강서구 공항대로 242 열린M타워Ⅱ 512호,iOS 앱 개발자,"딥파인은 산업용 업무협업 솔루션 ARON을 시작으로 다양한 XR기술과 서비스를 개발하고 있습니다.이후 완성된 플랫폼 기업으로 나아가기 위해 가장 강력한 XR 플랫폼을 함께 만들어갈 뛰어난 동료를 기다립니다!딥파인의 ARON은 건설, 식품, 항공 등 국내 Top 기업고객들이 사용중에 있으며, 스마트글라스를 활용한 솔루션으로써 국내 최대 상용화에 성공하였습니다. 딥파인은 VPS 기반의 XR 플랫폼 출시를 목표로 현재 다양한 연구와 개발을 진행하고 있습니다. 이는, 한국국토정보공사가 주관하는 'AR기반 실내 측위 서비스 시범 사업' 선정되어 그 기술력을 인정 받았습니다.또한 창립 3년여만에 빠르게 성장하여, 2022년 Pre-A 시리즈 투자를 성공적으로 마무리 하였습니다.XR 기술을 활용하여 어디에도 없는 새로운 메타버스 생태계를 구축한다는 자부심을 가지고함께하는 성장에 가치를 느끼고 싶은 분이라면 언제든지 환영합니다.[주요 사업 분야]-비대면 업무협업 솔루션 ARON-비대면 업무협업 솔루션  ARON Enterprise -XR 플랫폼 연구 및 구축-XR 디바이스 솔루션 구축",• iOS 앱 신규 개발 및 유지보수,• iOS 개발 경력 5년 이상• Swift 개발 언어에 능숙하신 분• 상용 서비스 개발 및 운영 경험• Git 등 소스 관리 시스템 사용 경험• 애플 스토어 배포 및 관리 경험이 있으신 분• 새로운 기술에 관심이 많으신 분• 다양한 직군의 사람들과 원활한 의사소통이 가능한 분,"• 하이브리드 앱 개발 경험이 있는 분• MVP, MVVM 등의 디자인 패턴 적용에 대한 경험 보유• RxSwift 사용 경험 보유• 유닛 테스트 및 UI 테스트 작성 경험 보유",[채용 절차]• 1. 서류전형 ＞ 2. 실무 인터뷰(비대면) ＞ 3. 최종 인터뷰(대면) ＞ 3. 최종합격최종 합격 여부는 빠르면 24시간 이내 늦어도 2-3일 이내 안내드립니다.[근무형태]• 시차 출퇴근제 시행 中 • 주 5일 : 08:30~10:00 출근 ~ 17:30~19:00 퇴근[근무환경]• 발산역 8번출구에서 도보로 5분거리• 복장 완전 자율• 불필요한 야근/회식 강요 없음[혜택 및 복지]• 목표 매출 달성 시 상여금 지급합니다.• 각종 경조사비 및 경조 휴가를 제공합니다.• 명절 선물 및 교통비를 제공합니다.• 자기 계발 & 업무 관련 도서를 지원합니다.• 업무 관련 교육비를 지원합니다.• 대학원 학비 일부를 지원합니다.• 음료수 무한 제공합니다.• 매월 마지막 주 금요일 2시간 조기퇴근합니다.• 매월 영화 관람비 지원합니다.• 생일자는 그 주 원하는 날짜에 반차를 쓸 수 있습니다.,상시,C / C++Python3D 모델링LiDAR
